"year","iteration","sAg","ppnCUsLowerBM"
20,"43",21715.9675922605,0.8
20,"44",22374.3599577679,0.8
20,"45",22755.8801260451,0.8
20,"46",25711.4821860745,1
20,"47",25663.3881583005,0.8
20,"48",23147.8653474896,0.8
20,"49",21159.7029853074,0.8
20,"50",22723.4461013561,0.8
21,"1",17122.7230918502,1
21,"2",20704.3233890349,1
21,"3",19842.3894125126,1
21,"4",16408.711576533,1
21,"5",21218.0668323513,1
21,"6",16877.4172509796,1
21,"7",19087.8322214663,1
21,"8",14934.9677153598,1
21,"9",18188.8920112658,1
21,"10",21541.8623361136,1
21,"11",21468.7247198995,1
21,"12",23470.0088004518,1
21,"13",20602.0706881144,1
21,"14",22464.5110189032,1
21,"15",17877.2833525279,1
21,"16",24960.908885556,1
21,"17",19255.3486354494,1
21,"18",23012.237106419,1
21,"19",18715.7890519285,1
21,"20",21322.4861897672,1
21,"21",16540.7480672755,1
21,"22",23055.9397539721,1
21,"23",19417.7372500722,1
21,"24",30322.7401750293,1
21,"25",19721.3139459791,1
21,"26",16848.0522236459,1
21,"27",15494.4137968805,1
21,"28",21659.4989257165,1
21,"29",14891.4940834737,1
21,"30",20266.6533644519,1
21,"31",19248.8840851006,1
21,"32",19812.1971544524,1
21,"33",24839.4284030685,1
21,"34",20492.4210995077,1
21,"35",23924.8874288048,1
21,"36",21325.2154318767,1
21,"37",19798.0569678426,1
21,"38",24734.5722087962,1
21,"39",23706.5462579726,1
21,"40",17328.3636311742,1
21,"41",26018.5757860418,1
21,"42",18278.3221505566,1
21,"43",20279.1425984642,1
21,"44",16392.9226746212,1
21,"45",25566.5522980381,1
21,"46",23288.9987097203,1
21,"47",21876.3748224053,1
21,"48",21425.3187278292,1
21,"49",21723.4348155129,1
21,"50",23646.4179645399,1
22,"1",9856.46456502055,0.8
22,"2",4802.90788557681,0.4
22,"3",6008.34655286072,0.8
22,"4",7897.64771768773,0.6
22,"5",5805.46091760061,0.6
22,"6",6135.13528085584,0.6
22,"7",4948.70899357517,0.8
22,"8",9575.33457146903,0.8
22,"9",4155.07935085231,0.6
22,"10",6413.77297840716,0.4
22,"11",5759.90319665857,0.4
22,"12",6465.08960529556,0.6
22,"13",6300.06069118437,0.6
22,"14",3764.01670126424,0.6
22,"15",7249.25361404019,0.4
22,"16",5680.7016280841,0.6
22,"17",12119.7224143893,0.8
22,"18",3764.69522868162,0.6
22,"19",5674.59571601947,0.8
22,"20",8068.02830715237,0.8
22,"21",10561.7277666982,0.8
22,"22",3304.62467404917,0.4
22,"23",6428.81311676215,0.4
22,"24",7326.83287100073,0.6
22,"25",6411.42678373795,0.6
22,"26",9816.58557742578,0.6
22,"27",15513.3092025132,0.8
22,"28",6500.61248329518,0.4
22,"29",8186.06913592037,1
22,"30",7341.80988727416,0.8
22,"31",7520.76428607704,0.6
22,"32",3530.54583083648,0.6
22,"33",10733.3428603281,0.8
22,"34",3641.31809099333,0.6
22,"35",5909.50326140111,0.6
22,"36",4678.12737243348,0.4
22,"37",2378.25339533942,0.2
22,"38",4112.94456303316,0.6
22,"39",3171.81328307513,0.4
22,"40",7217.57958960462,0.8
22,"41",6118.20514042244,0.4
22,"42",8323.10523044445,0.8
22,"43",5660.83174452444,0.6
22,"44",10358.4488930981,0.8
22,"45",2651.55378527905,0.4
22,"46",1138.35842531687,0
22,"47",2956.9296500773,0.6
22,"48",4604.29605571023,0.6
22,"49",5511.68266257503,0.6
22,"50",5619.04730979533,0.4
23,"1",9685.89261702173,0.8
23,"2",10921.6511749232,0.8
23,"3",17254.3712181602,0.8
23,"4",20165.6378022504,0.8
23,"5",10479.9042097939,0.8
23,"6",21447.0878696289,0.8
23,"7",16095.2221678143,0.8
23,"8",7348.13469090139,0.8
23,"9",11494.6919596037,0.8
23,"10",12415.1180098061,0.6
23,"11",21590.738932839,0.8
23,"12",20595.617715497,0.8
23,"13",8018.49671126238,0.6
23,"14",6603.4518261608,0.8
23,"15",14984.4950075253,0.8
23,"16",10471.6779760002,0.8
23,"17",6390.23317375529,0.6
23,"18",12205.5181244811,0.8
23,"19",11559.9615311647,0.8
